,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,AMR,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Alpha Metallurgical Resources Inc,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,132.73,,-3.74,-2.74%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"2,460M",8.73,1.36,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,AMR,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 12, 2021",16.40,16.62,15.31,15.51,"194,314"
,"Mar 15, 2021",14.89,14.89,12.66,13.20,"711,019"
,"Mar 16, 2021",13.30,13.46,11.13,11.45,"495,165"
,"Mar 17, 2021",11.85,12.79,11.33,11.73,"419,485"
,"Mar 18, 2021",12.44,14.15,12.39,13.48,"568,083"
,"Mar 19, 2021",13.20,13.95,12.51,12.58,"1,176,687"
,"Mar 22, 2021",13.30,13.45,12.62,13.02,"191,531"
,"Mar 23, 2021",13.00,13.02,12.51,12.62,"181,708"
,"Mar 24, 2021",12.56,13.31,12.28,12.28,"526,210"
,"Mar 25, 2021",12.17,12.93,11.71,12.58,"188,635"
,"Mar 26, 2021",12.82,13.15,12.58,13.13,"164,459"
,"Mar 29, 2021",13.00,13.12,11.80,12.12,"196,639"
,"Mar 30, 2021",12.02,12.65,12.02,12.16,"81,585"
,"Mar 31, 2021",12.18,12.93,12.01,12.63,"280,786"
,"Apr 1, 2021",12.72,12.99,12.46,12.81,"107,960"
,"Apr 5, 2021",12.85,13.38,12.78,13.31,"119,420"
,"Apr 6, 2021",13.41,13.65,12.93,13.51,"137,848"
,"Apr 7, 2021",13.63,14.20,13.26,14.07,"193,278"
,"Apr 8, 2021",13.94,14.66,13.05,14.40,"192,298"
,"Apr 9, 2021",14.27,14.62,13.59,14.19,"100,423"
,"Apr 12, 2021",14.00,14.06,13.35,13.89,"78,102"
,"Apr 13, 2021",13.63,14.23,13.55,14.22,"70,725"
,"Apr 14, 2021",14.07,14.72,14.01,14.59,"85,784"
,"Apr 15, 2021",14.64,14.83,14.26,14.46,"120,723"
,"Apr 16, 2021",14.47,14.52,13.70,13.70,"67,545"
,"Apr 19, 2021",13.60,13.93,13.13,13.40,"60,842"
,"Apr 20, 2021",13.20,13.58,12.56,12.73,"89,496"
,"Apr 21, 2021",12.56,13.64,12.56,13.52,"80,775"
,"Apr 22, 2021",13.60,13.80,13.23,13.41,"126,529"
,"Apr 23, 2021",13.57,13.99,13.41,13.82,"67,933"
,"Apr 26, 2021",14.01,14.50,13.91,14.17,"100,466"
,"Apr 27, 2021",14.13,14.62,13.78,14.19,"71,512"
,"Apr 28, 2021",14.17,14.44,14.01,14.13,"46,644"
,"Apr 29, 2021",14.14,14.14,13.13,13.22,"81,582"
,"Apr 30, 2021",13.06,13.10,11.75,12.09,"215,381"
,"May 3, 2021",12.20,13.23,12.20,12.88,"120,035"
,"May 4, 2021",12.82,13.52,12.71,13.30,"164,873"
,"May 5, 2021",13.20,13.77,13.16,13.50,"206,187"
,"May 6, 2021",13.50,13.55,12.90,13.32,"57,164"
,"May 7, 2021",13.42,13.85,12.93,13.35,"330,578"
,"May 10, 2021",13.91,15.50,13.60,15.17,"768,447"
,"May 11, 2021",14.65,15.65,14.45,15.20,"163,159"
,"May 12, 2021",15.35,15.54,13.89,14.29,"143,967"
,"May 13, 2021",14.18,15.31,13.73,13.95,"161,590"
,"May 14, 2021",14.38,15.21,13.75,13.91,"206,183"
,"May 17, 2021",13.91,15.40,13.91,15.21,"216,612"
,"May 18, 2021",15.71,15.71,14.73,14.85,"127,954"
,"May 19, 2021",14.42,15.00,13.98,14.66,"153,412"
,"May 20, 2021",14.71,15.15,14.35,14.91,"130,820"
,"May 21, 2021",15.30,15.52,14.77,15.32,"184,777"
,"May 24, 2021",15.24,16.20,14.93,16.11,"179,832"
,"May 25, 2021",16.26,16.47,15.53,16.03,"615,629"
,"May 26, 2021",15.99,16.46,15.47,16.18,"134,486"
,"May 27, 2021",16.47,19.27,16.06,18.42,"538,881"
,"May 28, 2021",18.57,19.90,18.55,19.86,"187,664"
,"Jun 1, 2021",20.61,21.00,19.51,20.70,"307,453"
,"Jun 2, 2021",20.82,20.85,20.04,20.27,"193,770"
,"Jun 3, 2021",20.30,20.90,19.37,20.89,"141,961"
,"Jun 4, 2021",21.17,22.19,20.74,21.52,"205,134"
,"Jun 7, 2021",21.56,21.56,19.05,19.44,"208,451"
,"Jun 8, 2021",19.50,20.91,19.05,20.30,"166,149"
,"Jun 9, 2021",20.13,22.53,19.90,22.35,"274,994"
,"Jun 10, 2021",22.19,23.82,21.55,23.38,"252,675"
,"Jun 11, 2021",23.40,24.65,23.40,23.62,"238,432"
,"Jun 14, 2021",23.27,23.84,22.53,23.61,"310,211"
,"Jun 15, 2021",23.60,23.92,22.53,23.20,"152,629"
,"Jun 16, 2021",23.13,23.54,22.21,22.75,"520,864"
,"Jun 17, 2021",22.62,22.62,20.69,20.83,"277,324"
,"Jun 18, 2021",20.83,21.20,20.30,21.06,"268,572"
,"Jun 21, 2021",20.77,22.51,20.69,22.28,"211,200"
,"Jun 22, 2021",21.73,22.63,21.71,22.21,"114,590"
,"Jun 23, 2021",22.26,24.61,22.25,23.43,"241,202"
,"Jun 24, 2021",23.47,24.52,23.41,24.30,"153,744"
