,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,GLD,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,SPDR Gold Trust,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,185.09,,-1.31,-0.70%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"67,743M",-,-,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,GLD,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 12, 2021",159.54,161.69,159.35,161.49,"8,608,514"
,"Mar 15, 2021",162.31,162.55,161.43,162.20,"8,110,140"
,"Mar 16, 2021",162.36,163.20,161.81,162.35,"7,547,417"
,"Mar 17, 2021",162.27,164.15,161.48,163.51,"12,626,689"
,"Mar 18, 2021",161.15,162.82,161.11,162.56,"8,731,762"
,"Mar 19, 2021",162.56,163.43,162.43,163.24,"6,868,892"
,"Mar 22, 2021",162.27,163.13,162.16,163.00,"5,239,970"
,"Mar 23, 2021",162.45,162.49,161.59,161.81,"6,048,301"
,"Mar 24, 2021",162.21,162.89,161.94,162.37,"6,183,666"
,"Mar 25, 2021",163.06,163.58,161.32,161.78,"8,398,596"
,"Mar 26, 2021",161.71,162.73,161.65,162.24,"6,153,894"
,"Mar 29, 2021",161.46,161.52,159.83,160.31,"8,409,316"
,"Mar 30, 2021",157.94,158.20,157.55,157.57,"8,353,246"
,"Mar 31, 2021",158.06,160.68,158.05,159.96,"10,623,771"
,"Apr 1, 2021",161.56,162.11,161.28,161.98,"7,105,228"
,"Apr 5, 2021",161.52,162.40,161.36,161.92,"6,163,799"
,"Apr 6, 2021",162.79,163.53,162.75,163.22,"6,761,166"
,"Apr 7, 2021",162.82,163.31,162.50,162.76,"5,436,014"
,"Apr 8, 2021",164.17,164.77,164.14,164.51,"6,574,524"
,"Apr 9, 2021",162.75,163.66,162.48,163.27,"6,657,898"
,"Apr 12, 2021",162.73,162.80,161.81,162.28,"4,896,669"
,"Apr 13, 2021",163.18,163.85,163.03,163.43,"6,995,903"
,"Apr 14, 2021",162.77,163.05,162.30,162.72,"6,312,296"
,"Apr 15, 2021",164.07,165.79,164.03,165.35,"8,250,646"
,"Apr 16, 2021",166.24,166.81,165.94,166.35,"10,057,602"
,"Apr 19, 2021",165.91,166.44,165.72,165.89,"5,721,727"
,"Apr 20, 2021",165.65,166.81,165.62,166.48,"6,531,979"
,"Apr 21, 2021",167.18,168.39,167.15,168.13,"8,380,178"
,"Apr 22, 2021",167.11,167.53,166.49,167.04,"7,680,140"
,"Apr 23, 2021",167.37,167.53,165.78,166.40,"7,107,484"
,"Apr 26, 2021",166.63,166.87,166.05,166.84,"4,786,613"
,"Apr 27, 2021",166.92,167.15,166.28,166.42,"5,363,499"
,"Apr 28, 2021",165.75,166.96,165.49,166.91,"6,932,217"
,"Apr 29, 2021",165.58,166.26,164.47,166.22,"9,067,627"
,"Apr 30, 2021",165.86,166.00,165.24,165.66,"6,248,711"
,"May 3, 2021",167.61,168.43,167.41,167.81,"9,014,708"
,"May 4, 2021",167.69,168.55,165.50,166.58,"10,267,411"
,"May 5, 2021",166.63,167.31,166.61,167.27,"3,174,181"
,"May 6, 2021",167.95,170.29,167.92,170.06,"13,574,072"
,"May 7, 2021",171.53,172.55,171.00,171.59,"14,748,628"
,"May 10, 2021",172.74,172.84,171.78,172.11,"8,276,584"
,"May 11, 2021",170.56,172.17,170.27,172.14,"8,348,213"
,"May 12, 2021",171.43,171.84,170.35,170.43,"12,666,262"
,"May 13, 2021",170.35,171.27,170.23,171.13,"8,078,266"
,"May 14, 2021",172.05,172.70,171.82,172.69,"9,686,777"
,"May 17, 2021",173.30,175.00,173.28,174.70,"11,956,831"
,"May 18, 2021",175.18,175.21,174.46,175.04,"7,294,010"
,"May 19, 2021",175.14,177.00,174.35,175.16,"20,741,106"
,"May 20, 2021",175.32,176.46,175.11,175.96,"9,802,799"
,"May 21, 2021",176.58,176.86,175.15,176.04,"7,677,190"
,"May 24, 2021",176.15,176.59,175.87,176.35,"5,557,339"
,"May 25, 2021",176.15,177.95,176.04,177.95,"8,986,945"
,"May 26, 2021",178.37,178.61,177.04,177.64,"8,495,383"
,"May 27, 2021",177.39,177.82,176.81,177.71,"7,992,951"
,"May 28, 2021",177.46,178.43,177.24,178.38,"9,968,324"
,"Jun 1, 2021",178.76,178.85,177.19,177.90,"9,143,250"
,"Jun 2, 2021",178.34,178.78,177.97,178.77,"6,613,106"
,"Jun 3, 2021",175.83,175.83,174.66,175.27,"10,153,899"
,"Jun 4, 2021",176.65,177.57,176.61,177.16,"8,375,264"
,"Jun 7, 2021",176.96,177.90,176.63,177.87,"7,709,094"
,"Jun 8, 2021",177.23,177.54,176.37,177.32,"5,905,832"
,"Jun 9, 2021",177.38,177.80,176.78,176.98,"6,346,094"
,"Jun 10, 2021",176.70,177.85,176.48,177.74,"9,896,612"
,"Jun 11, 2021",176.33,176.57,175.48,175.74,"7,836,860"
,"Jun 14, 2021",173.16,175.06,172.95,174.71,"7,733,645"
,"Jun 15, 2021",174.78,174.92,173.34,174.05,"7,550,154"
,"Jun 16, 2021",173.91,174.47,171.03,171.11,"16,919,749"
,"Jun 17, 2021",167.02,167.62,165.44,165.85,"27,232,236"
,"Jun 18, 2021",166.14,166.72,164.87,164.93,"15,744,310"
