,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,XIU,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,iShares S&P/TSX 60 Index ETF,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,32.45,,-0.33,-1.01%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,-,-,0.72,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,XIU,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Mar 15, 2021",28.39,28.47,28.21,28.43,"2,998,032"
,"Mar 16, 2021",28.48,28.48,28.32,28.33,"2,185,536"
,"Mar 17, 2021",28.34,28.61,28.27,28.50,"3,350,168"
,"Mar 18, 2021",28.47,28.58,28.32,28.36,"2,081,466"
,"Mar 19, 2021",28.36,28.41,28.18,28.32,"4,758,314"
,"Mar 22, 2021",28.28,28.34,28.22,28.29,"2,193,689"
,"Mar 23, 2021",28.28,28.32,28.10,28.14,"4,453,896"
,"Mar 24, 2021",28.24,28.35,28.11,28.12,"2,622,946"
,"Mar 25, 2021",28.06,28.19,27.90,28.15,"4,976,549"
,"Mar 26, 2021",28.20,28.31,28.05,28.29,"3,079,423"
,"Mar 29, 2021",28.20,28.33,28.10,28.27,"1,833,501"
,"Mar 30, 2021",28.20,28.31,28.15,28.27,"2,536,968"
,"Mar 31, 2021",28.27,28.35,28.19,28.20,"3,082,985"
,"Apr 1, 2021",28.43,28.63,28.34,28.63,"1,672,302"
,"Apr 5, 2021",28.74,28.78,28.68,28.69,"1,648,732"
,"Apr 6, 2021",28.76,28.86,28.72,28.76,"1,110,902"
,"Apr 7, 2021",28.84,28.90,28.78,28.86,"1,231,754"
,"Apr 8, 2021",28.90,28.96,28.77,28.94,"1,029,492"
,"Apr 9, 2021",28.90,28.98,28.84,28.98,"823,787"
,"Apr 12, 2021",28.90,29.05,28.90,28.99,"986,978"
,"Apr 13, 2021",29.06,29.08,28.94,28.95,"1,639,328"
,"Apr 14, 2021",29.06,29.12,28.90,28.94,"1,368,016"
,"Apr 15, 2021",29.08,29.17,29.02,29.14,"2,379,779"
,"Apr 16, 2021",29.20,29.21,29.10,29.18,"1,290,546"
,"Apr 19, 2021",29.17,29.20,28.92,28.95,"2,177,095"
,"Apr 20, 2021",28.78,28.81,28.58,28.67,"2,310,618"
,"Apr 21, 2021",28.68,28.88,28.66,28.84,"1,822,239"
,"Apr 22, 2021",28.82,28.82,28.60,28.66,"1,888,560"
,"Apr 23, 2021",28.72,28.81,28.66,28.77,"2,399,565"
,"Apr 26, 2021",28.76,28.89,28.76,28.85,"1,915,150"
,"Apr 27, 2021",28.85,28.98,28.78,28.87,"1,396,858"
,"Apr 28, 2021",28.99,29.26,28.96,29.19,"2,586,220"
,"Apr 29, 2021",29.29,29.33,29.02,29.05,"2,751,392"
,"Apr 30, 2021",28.91,29.00,28.79,28.85,"2,340,851"
,"May 3, 2021",29.01,29.07,28.94,28.94,"2,040,451"
,"May 4, 2021",28.87,28.99,28.74,28.97,"1,913,571"
,"May 5, 2021",29.08,29.22,29.00,29.17,"2,553,861"
,"May 6, 2021",29.14,29.18,28.96,29.14,"2,600,107"
,"May 7, 2021",29.21,29.45,29.17,29.40,"3,181,703"
,"May 10, 2021",29.46,29.50,29.25,29.25,"2,699,604"
,"May 11, 2021",28.95,29.17,28.88,29.15,"6,308,304"
,"May 12, 2021",29.03,29.14,28.90,28.96,"5,097,355"
,"May 13, 2021",28.94,29.13,28.94,29.07,"3,988,724"
,"May 14, 2021",29.16,29.44,29.16,29.40,"2,787,167"
,"May 17, 2021",29.32,29.58,29.31,29.57,"3,545,734"
,"May 18, 2021",29.55,29.68,29.46,29.58,"2,775,484"
,"May 19, 2021",29.29,29.51,29.17,29.47,"2,988,778"
,"May 20, 2021",29.51,29.74,29.46,29.68,"2,733,836"
,"May 21, 2021",29.57,29.59,29.43,29.46,"2,887,346"
,"May 25, 2021",29.69,29.72,29.51,29.52,"2,897,715"
,"May 26, 2021",29.66,29.84,29.64,29.80,"3,593,001"
,"May 27, 2021",29.87,29.95,29.83,29.87,"2,274,069"
,"May 28, 2021",29.99,30.05,29.93,29.95,"2,137,272"
,"May 31, 2021",30.04,30.04,29.68,29.74,"1,090,048"
,"Jun 1, 2021",30.09,30.22,30.05,30.15,"4,133,069"
,"Jun 2, 2021",30.25,30.25,30.08,30.10,"2,135,243"
,"Jun 3, 2021",30.02,30.18,30.02,30.08,"1,838,405"
,"Jun 4, 2021",30.20,30.23,30.12,30.22,"1,211,896"
,"Jun 7, 2021",30.27,30.28,30.16,30.22,"1,025,154"
,"Jun 8, 2021",30.22,30.32,30.17,30.24,"1,518,502"
,"Jun 9, 2021",30.21,30.21,30.07,30.14,"1,268,281"
,"Jun 10, 2021",30.24,30.27,30.08,30.17,"1,723,919"
,"Jun 11, 2021",30.27,30.35,30.24,30.33,"1,524,049"
,"Jun 14, 2021",30.30,30.41,30.25,30.41,"1,679,688"
,"Jun 15, 2021",30.48,30.62,30.47,30.57,"2,919,750"
,"Jun 16, 2021",30.57,30.69,30.50,30.57,"1,962,697"
,"Jun 17, 2021",30.60,30.67,30.43,30.52,"3,214,479"
,"Jun 18, 2021",30.23,30.49,30.22,30.30,"4,206,669"
,"Jun 21, 2021",30.43,30.66,30.34,30.53,"1,964,112"
